"A"	"B"	"C"	"D"	"sex"	"age"	"edu"
"436"	"4"	"5"	"4"	"4"	"1"	"5"	"2"
"437"	"4"	"5"	"3"	"4"	"2"	"2"	"4"
"438"	"4"	"4"	"5"	"2"	"2"	"3"	"3"
"439"	"2"	"1"	"4"	"5"	"2"	"5"	"3"
"440"	"2"	"4"	"4"	"2"	"1"	"5"	"3"
"441"	"2"	"4"	"4"	"2"	"2"	"6"	"2"
"442"	"4"	"5"	"4"	"2"	"1"	"4"	"2"
"443"	"4"	"4"	"3"	"4"	"1"	"1"	"2"
"444"	"4"	"5"	"4"	"1"	"2"	"2"	"6"
"445"	"2"	"4"	"4"	"2"	"2"	"6"	"3"
"446"	"5"	"5"	"4"	"2"	"1"	"1"	"4"
"447"	"4"	"5"	"4"	"3"	"1"	"6"	"3"
"448"	"2"	"4"	"4"	"2"	"2"	"3"	"3"
"449"	"3"	"3"	"2"	"4"	"1"	"6"	"3"
"450"	"3"	"4"	"4"	"5"	"1"	"4"	"3"
"451"	"2"	"3"	"1"	"5"	"2"	"6"	"2"
"452"	"2"	"2"	"2"	"5"	"1"	"6"	"2"
"453"	"2"	"1"	"1"	"5"	"2"	"6"	"2"
"454"	"2"	"1"	"1"	"5"	"2"	"4"	"2"
"455"	"2"	"4"	"4"	"4"	"2"	"2"	"2"
"456"	"2"	"4"	"4"	"4"	"2"	"4"	"3"
"457"	"1"	"4"	"3"	"2"	"1"	"6"	"2"
"458"	"2"	"3"	"3"	"2"	"1"	"2"	"3"
"459"	"2"	"4"	"2"	"5"	"1"	"2"	"5"
"460"	"3"	"3"	"2"	"5"	"1"	"2"	"5"
"461"	"3"	"3"	"3"	"3"	"1"	"1"	"4"
"462"	"2"	"4"	"3"	"3"	"2"	"1"	"4"
"463"	"2"	"2"	"2"	"5"	"2"	"3"	"6"
"464"	"2"	"4"	"5"	"2"	"1"	"3"	"6"
"465"	"3"	"2"	"2"	"4"	"2"	"2"	"4"
"466"	"2"	"4"	"3"	"4"	"2"	"3"	"2"
"467"	"5"	"5"	"5"	"4"	"2"	"3"	"6"
"468"	"3"	"4"	"4"	"4"	"1"	"6"	"6"
"469"	"2"	"4"	"3"	"3"	"2"	"2"	"2"
"470"	"2"	"3"	"1"	"2"	"1"	"5"	"2"
"471"	"4"	"3"	"1"	"2"	"2"	"3"	"3"
"472"	"3"	"3"	"2"	"3"	"1"	"4"	"2"
"473"	"2"	"3"	"3"	"3"	"2"	"3"	"2"
"474"	"2"	"4"	"2"	"3"	"1"	"3"	"2"
"475"	"2"	"2"	"1"	"4"	"2"	"6"	"2"
"476"	"2"	"4"	"2"	"4"	"1"	"4"	"2"
"477"	"1"	"2"	"1"	"4"	"1"	"6"	"2"
"478"	"3"	"4"	"2"	"3"	"1"	"3"	"2"
"479"	"3"	"3"	"2"	"2"	"2"	"2"	"3"
"480"	"2"	"3"	"3"	"3"	"1"	"5"	"2"
"481"	"2"	"3"	"3"	"2"	"1"	"2"	"2"
"482"	"2"	"4"	"3"	"3"	"1"	"3"	"3"
"483"	"3"	"4"	"3"	"3"	"2"	"4"	"6"
"484"	"4"	"4"	"4"	"2"	"2"	"2"	"3"
"485"	"2"	"3"	"2"	"3"	"2"	"5"	"2"
"486"	"3"	"3"	"2"	"4"	"1"	"6"	"6"
"487"	"3"	"3"	"1"	"5"	"1"	"4"	"2"
"488"	"2"	"3"	"1"	"2"	"2"	"2"	"2"
"489"	"3"	"4"	"4"	"5"	"1"	"2"	"5"
"490"	"2"	"1"	"1"	"5"	"1"	"5"	"2"
"491"	"4"	"4"	"2"	"5"	"1"	"2"	"4"
"492"	"2"	"1"	"1"	"5"	"1"	"5"	"1"
"493"	"1"	"1"	"2"	"5"	"1"	"5"	"2"
"494"	"3"	"5"	"5"	"1"	"1"	"3"	"3"
"495"	"3"	"3"	"2"	"3"	"2"	"3"	"2"
"496"	"1"	"3"	"1"	"1"	"2"	"1"	"2"
"497"	"2"	"4"	"2"	"4"	"2"	"4"	"6"
"498"	"4"	"4"	"2"	"4"	"1"	"1"	"4"
"499"	"3"	"4"	"5"	"3"	"1"	"3"	"3"
"500"	"4"	"4"	"3"	"5"	"1"	"1"	"3"
"501"	"2"	"4"	"5"	"5"	"1"	"2"	"2"
"502"	"4"	"5"	"4"	"5"	"1"	"2"	"4"
"503"	"2"	"4"	"1"	"5"	"2"	"2"	"6"
"504"	"4"	"4"	"5"	"4"	"2"	"1"	"4"
"505"	"2"	"4"	"4"	"3"	"2"	"1"	"3"
"506"	"5"	"4"	"3"	"4"	"1"	"4"	"3"
"507"	"4"	"4"	"4"	"4"	"2"	"2"	"2"
"508"	"1"	"4"	"2"	"2"	"1"	"5"	"3"
"509"	"2"	"3"	"1"	"2"	"2"	"6"	"2"
"510"	"2"	"4"	"2"	"2"	"1"	"6"	"2"
"511"	"2"	"2"	"2"	"2"	"1"	"4"	"2"
"512"	"1"	"2"	"2"	"2"	"2"	"4"	"2"
"513"	"2"	"4"	"1"	"2"	"2"	"5"	"2"
"514"	"2"	"5"	"5"	"2"	"1"	"2"	"6"
"515"	"2"	"2"	"3"	"3"	"2"	"3"	"2"
"516"	"2"	"4"	"3"	"3"	"2"	"3"	"3"
"517"	"3"	"4"	"3"	"3"	"1"	"2"	"4"
"518"	"2"	"3"	"2"	"3"	"2"	"5"	"3"
"519"	"2"	"5"	"1"	"3"	"2"	"4"	"2"
"520"	"1"	"2"	"1"	"1"	"2"	"5"	"2"
"521"	"1"	"4"	"1"	"1"	"2"	"2"	"3"
"522"	"1"	"5"	"1"	"5"	"2"	"2"	"3"
"523"	"3"	"3"	"2"	"2"	"2"	"2"	"3"
"524"	"3"	"2"	"2"	"1"	"1"	"4"	"3"
"525"	"2"	"3"	"3"	"3"	"2"	"1"	"3"
"526"	"1"	"3"	"3"	"4"	"2"	"4"	"2"
"527"	"1"	"2"	"2"	"4"	"2"	"4"	"2"
"528"	"3"	"4"	"2"	"3"	"2"	"3"	"3"
"529"	"2"	"2"	"2"	"2"	"2"	"2"	"2"
"530"	"5"	"5"	"2"	"2"	"1"	"1"	"2"
"531"	"2"	"3"	"2"	"4"	"1"	"5"	"2"
"532"	"2"	"2"	"2"	"4"	"1"	"3"	"3"
"533"	"2"	"1"	"1"	"5"	"1"	"1"	"4"
"534"	"3"	"3"	"2"	"2"	"2"	"1"	"2"
"535"	"2"	"4"	"3"	"2"	"2"	"3"	"3"
"536"	"4"	"2"	"2"	"2"	"1"	"1"	"3"
"537"	"3"	"3"	"2"	"5"	"2"	"3"	"3"
"538"	"2"	"1"	"1"	"5"	"2"	"2"	"4"
"539"	"4"	"5"	"4"	"4"	"1"	"1"	"4"
"540"	"4"	"5"	"3"	"5"	"1"	"1"	"4"
"541"	"1"	"3"	"1"	"5"	"2"	"2"	"6"
"542"	"1"	"5"	"1"	"5"	"2"	"2"	"2"
"543"	"1"	"5"	"5"	"1"	"1"	"6"	"2"
"544"	"5"	"5"	"5"	"5"	"2"	"2"	"3"
"545"	"1"	"4"	"1"	"4"	"2"	"2"	"2"
"546"	"1"	"5"	"5"	"5"	"2"	"5"	"2"
"547"	"3"	"3"	"2"	"3"	"2"	"5"	"1"
"548"	"2"	"2"	"1"	"4"	"1"	"6"	"2"
"549"	"3"	"3"	"2"	"3"	"1"	"6"	"2"
"550"	"2"	"2"	"2"	"2"	"2"	"6"	"1"
"551"	"2"	"2"	"2"	"3"	"2"	"6"	"1"
"552"	"2"	"4"	"3"	"3"	"2"	"3"	"2"
"553"	"3"	"1"	"1"	"1"	"2"	"3"	"2"
"554"	"1"	"2"	"2"	"4"	"1"	"3"	"3"
"555"	"1"	"4"	"3"	"4"	"2"	"2"	"3"
"556"	"2"	"5"	"2"	"2"	"1"	"1"	"4"
"557"	"3"	"5"	"2"	"4"	"2"	"4"	"2"
"558"	"3"	"3"	"2"	"2"	"2"	"6"	"6"
"559"	"4"	"3"	"2"	"3"	"1"	"6"	"1"
"560"	"2"	"1"	"1"	"1"	"1"	"2"	"1"
"561"	"1"	"3"	"1"	"5"	"2"	"3"	"4"
"562"	"4"	"4"	"3"	"4"	"1"	"3"	"3"
"563"	"4"	"4"	"2"	"5"	"1"	"4"	"6"
"564"	"2"	"4"	"5"	"1"	"1"	"3"	"3"
"565"	"3"	"4"	"3"	"2"	"1"	"3"	"4"
"566"	"2"	"5"	"2"	"1"	"1"	"5"	"2"
"567"	"3"	"4"	"3"	"1"	"2"	"1"	"1"
"568"	"2"	"3"	"4"	"2"	"2"	"2"	"3"
"569"	"2"	"3"	"3"	"2"	"2"	"2"	"3"
"570"	"2"	"5"	"4"	"1"	"2"	"2"	"3"
"571"	"3"	"4"	"3"	"2"	"1"	"2"	"3"
"572"	"3"	"5"	"3"	"1"	"1"	"1"	"1"
"573"	"4"	"4"	"4"	"2"	"1"	"4"	"6"
"574"	"1"	"4"	"3"	"2"	"2"	"2"	"3"
"575"	"2"	"5"	"3"	"3"	"2"	"1"	"1"
"576"	"3"	"3"	"3"	"2"	"2"	"3"	"3"
"577"	"1"	"4"	"2"	"2"	"2"	"6"	"2"
"578"	"3"	"2"	"3"	"4"	"1"	"4"	"3"
"579"	"2"	"3"	"4"	"2"	"1"	"1"	"1"
"580"	"2"	"2"	"2"	"4"	"1"	"4"	"2"
"581"	"1"	"2"	"2"	"4"	"1"	"3"	"3"
"582"	"1"	"4"	"2"	"2"	"2"	"3"	"6"
"583"	"2"	"3"	"3"	"2"	"2"	"6"	"2"
"584"	"2"	"2"	"2"	"2"	"2"	"5"	"3"
"585"	"4"	"2"	"2"	"2"	"1"	"1"	"6"
"586"	"1"	"3"	"2"	"3"	"1"	"5"	"2"
"587"	"4"	"5"	"4"	"2"	"2"	"2"	"4"
"588"	"3"	"5"	"3"	"2"	"1"	"5"	"6"
"589"	"5"	"5"	"4"	"2"	"1"	"1"	"4"
"590"	"2"	"4"	"4"	"2"	"2"	"5"	"2"
"591"	"4"	"5"	"4"	"2"	"1"	"2"	"2"
"592"	"2"	"1"	"2"	"2"	"2"	"4"	"2"
"593"	"3"	"3"	"4"	"3"	"2"	"6"	"2"
"594"	"2"	"1"	"3"	"2"	"1"	"2"	"2"
"595"	"3"	"4"	"2"	"4"	"2"	"4"	"2"
"596"	"3"	"4"	"3"	"3"	"1"	"4"	"2"
"597"	"5"	"5"	"5"	"3"	"2"	"3"	"3"
"598"	"5"	"3"	"4"	"4"	"1"	"5"	"2"
"599"	"4"	"2"	"2"	"4"	"2"	"6"	"2"
"600"	"2"	"3"	"2"	"2"	"1"	"3"	"3"
"601"	"2"	"3"	"2"	"2"	"1"	"6"	"2"
"602"	"3"	"2"	"2"	"2"	"1"	"5"	"2"
"603"	"2"	"2"	"1"	"2"	"1"	"6"	"2"
"604"	"2"	"2"	"2"	"2"	"1"	"2"	"2"
"605"	"2"	"2"	"2"	"4"	"2"	"2"	"3"
"606"	"4"	"5"	"5"	"5"	"1"	"2"	"4"
"607"	"2"	"2"	"2"	"5"	"2"	"6"	"3"
"608"	"3"	"3"	"2"	"5"	"2"	"5"	"6"
"609"	"5"	"4"	"2"	"5"	"1"	"2"	"6"
"610"	"3"	"4"	"4"	"4"	"2"	"1"	"4"
"611"	"5"	"5"	"4"	"3"	"1"	"3"	"6"
"612"	"3"	"3"	"2"	"2"	"1"	"4"	"3"
"613"	"1"	"2"	"1"	"1"	"2"	"4"	"2"
"614"	"1"	"1"	"1"	"1"	"2"	"5"	"2"
"615"	"1"	"4"	"1"	"1"	"1"	"5"	"6"
"616"	"1"	"3"	"2"	"1"	"1"	"5"	"2"
"617"	"2"	"1"	"1"	"2"	"2"	"1"	"3"
"618"	"1"	"2"	"1"	"4"	"2"	"3"	"2"
"619"	"1"	"1"	"1"	"5"	"2"	"3"	"2"
"620"	"3"	"3"	"2"	"4"	"2"	"2"	"3"
"621"	"1"	"3"	"1"	"1"	"1"	"4"	"2"
"622"	"3"	"2"	"4"	"4"	"2"	"2"	"3"
"623"	"2"	"3"	"2"	"2"	"1"	"3"	"2"
"624"	"4"	"5"	"4"	"4"	"1"	"4"	"5"
"625"	"5"	"5"	"5"	"3"	"2"	"3"	"3"
"626"	"4"	"5"	"4"	"4"	"1"	"3"	"3"
"627"	"4"	"5"	"4"	"5"	"2"	"5"	"2"
"628"	"1"	"1"	"1"	"3"	"2"	"4"	"2"
"629"	"2"	"4"	"1"	"4"	"2"	"5"	"2"
"630"	"3"	"3"	"4"	"5"	"1"	"2"	"6"
"631"	"1"	"1"	"1"	"4"	"1"	"4"	"2"
"632"	"2"	"1"	"2"	"2"	"2"	"6"	"2"
"633"	"1"	"3"	"1"	"4"	"2"	"2"	"3"
"634"	"3"	"4"	"2"	"4"	"1"	"2"	"4"
"635"	"2"	"3"	"2"	"3"	"2"	"6"	"2"
"636"	"1"	"2"	"2"	"2"	"2"	"2"	"2"
"637"	"2"	"2"	"2"	"3"	"2"	"6"	"2"
"638"	"2"	"5"	"2"	"2"	"2"	"5"	"2"
"639"	"2"	"3"	"1"	"2"	"2"	"6"	"2"
"640"	"2"	"2"	"1"	"2"	"2"	"3"	"2"
"641"	"3"	"3"	"3"	"3"	"1"	"4"	"2"
"642"	"3"	"3"	"3"	"4"	"2"	"6"	"2"
"643"	"2"	"3"	"3"	"2"	"1"	"3"	"3"
"644"	"2"	"2"	"2"	"2"	"1"	"4"	"4"
"645"	"3"	"3"	"3"	"3"	"2"	"2"	"4"
"646"	"4"	"4"	"2"	"3"	"2"	"6"	"2"
"647"	"1"	"3"	"2"	"2"	"1"	"1"	"1"
"648"	"2"	"3"	"2"	"4"	"2"	"4"	"3"
"649"	"2"	"3"	"1"	"4"	"1"	"5"	"2"
"650"	"4"	"4"	"2"	"4"	"2"	"2"	"3"
"651"	"4"	"4"	"2"	"2"	"1"	"6"	"2"
"652"	"2"	"5"	"3"	"4"	"1"	"2"	"2"
"653"	"3"	"4"	"3"	"5"	"1"	"2"	"2"
"654"	"3"	"4"	"3"	"5"	"1"	"4"	"2"
"655"	"2"	"2"	"2"	"5"	"1"	"3"	"4"
"656"	"2"	"3"	"2"	"5"	"2"	"3"	"3"
"657"	"2"	"3"	"2"	"5"	"2"	"3"	"3"
"658"	"3"	"3"	"2"	"3"	"2"	"4"	"2"
"659"	"2"	"5"	"3"	"4"	"1"	"2"	"3"
"660"	"4"	"4"	"2"	"4"	"1"	"3"	"2"
"661"	"2"	"2"	"4"	"1"	"2"	"1"	"5"
"662"	"3"	"5"	"5"	"5"	"1"	"4"	"6"
"663"	"3"	"3"	"1"	"2"	"2"	"4"	"2"
"664"	"3"	"4"	"1"	"3"	"1"	"2"	"2"
"665"	"2"	"2"	"4"	"4"	"2"	"4"	"2"
"666"	"5"	"5"	"5"	"5"	"1"	"2"	"5"
"667"	"4"	"4"	"3"	"3"	"1"	"2"	"4"
"668"	"2"	"1"	"1"	"5"	"2"	"2"	"6"
"669"	"4"	"4"	"1"	"5"	"1"	"6"	"3"
"670"	"3"	"3"	"2"	"4"	"2"	"2"	"3"
"671"	"3"	"3"	"1"	"1"	"2"	"2"	"4"
"672"	"5"	"4"	"2"	"4"	"2"	"6"	"2"
"673"	"3"	"2"	"3"	"2"	"2"	"2"	"5"
"674"	"3"	"4"	"3"	"4"	"2"	"2"	"5"
"675"	"2"	"4"	"2"	"4"	"1"	"3"	"2"
"676"	"3"	"3"	"3"	"4"	"1"	"3"	"3"
"677"	"1"	"1"	"1"	"5"	"1"	"4"	"3"
"678"	"4"	"5"	"4"	"2"	"2"	"6"	"1"
"679"	"4"	"5"	"5"	"1"	"2"	"4"	"5"
"680"	"3"	"4"	"2"	"5"	"2"	"4"	"3"
"681"	"2"	"3"	"1"	"4"	"1"	"6"	"1"
"682"	"1"	"2"	"1"	"5"	"2"	"3"	"3"
"683"	"3"	"3"	"2"	"4"	"1"	"5"	"2"
"684"	"3"	"2"	"2"	"3"	"1"	"4"	"2"
"685"	"2"	"2"	"1"	"4"	"1"	"2"	"5"
"686"	"5"	"5"	"3"	"2"	"1"	"6"	"2"
"687"	"4"	"4"	"1"	"5"	"1"	"2"	"3"
"688"	"1"	"2"	"1"	"4"	"2"	"1"	"3"
"689"	"1"	"5"	"4"	"5"	"2"	"2"	"2"
"690"	"1"	"3"	"3"	"3"	"2"	"4"	"4"
"691"	"5"	"3"	"3"	"3"	"1"	"4"	"4"
"692"	"1"	"3"	"1"	"5"	"1"	"6"	"2"
"693"	"4"	"3"	"5"	"5"	"1"	"2"	"2"
"694"	"1"	"1"	"1"	"5"	"2"	"2"	"1"
"695"	"5"	"5"	"4"	"1"	"2"	"4"	"2"
"696"	"3"	"3"	"3"	"3"	"1"	"2"	"2"
"697"	"3"	"2"	"2"	"4"	"1"	"5"	"6"
"698"	"4"	"3"	"2"	"4"	"2"	"2"	"4"
"699"	"3"	"4"	"3"	"2"	"1"	"4"	"3"
"700"	"2"	"2"	"2"	"4"	"1"	"6"	"3"
"701"	"4"	"4"	"4"	"4"	"1"	"2"	"4"
"702"	"2"	"4"	"1"	"5"	"1"	"5"	"3"
"703"	"3"	"5"	"4"	"4"	"1"	"2"	"3"
"704"	"2"	"4"	"3"	"5"	"1"	"2"	"5"
"705"	"2"	"4"	"1"	"3"	"1"	"6"	"4"
"706"	"1"	"2"	"2"	"3"	"2"	"5"	"2"
"707"	"1"	"3"	"3"	"3"	"1"	"2"	"3"
"708"	"2"	"2"	"1"	"1"	"2"	"3"	"4"
"709"	"2"	"3"	"1"	"1"	"1"	"4"	"2"
"710"	"2"	"2"	"2"	"5"	"2"	"2"	"4"
"711"	"3"	"3"	"3"	"3"	"2"	"1"	"1"
"712"	"4"	"5"	"4"	"4"	"1"	"5"	"3"
"713"	"4"	"4"	"4"	"2"	"1"	"1"	"2"
"714"	"2"	"4"	"4"	"3"	"1"	"3"	"2"
"715"	"4"	"4"	"4"	"2"	"1"	"5"	"3"
"716"	"1"	"2"	"1"	"3"	"2"	"6"	"2"
"717"	"4"	"4"	"4"	"3"	"1"	"2"	"4"
"718"	"2"	"2"	"2"	"4"	"1"	"4"	"2"
"719"	"3"	"4"	"2"	"4"	"1"	"2"	"4"
"720"	"2"	"4"	"1"	"4"	"2"	"6"	"6"
"721"	"4"	"4"	"2"	"4"	"1"	"1"	"3"
"722"	"3"	"4"	"5"	"3"	"2"	"3"	"4"
"723"	"2"	"3"	"3"	"5"	"1"	"3"	"5"
"724"	"2"	"4"	"1"	"1"	"2"	"4"	"5"
"725"	"2"	"4"	"2"	"2"	"2"	"2"	"2"
"726"	"5"	"5"	"4"	"2"	"1"	"3"	"5"
"727"	"1"	"4"	"3"	"2"	"2"	"2"	"2"
"728"	"5"	"5"	"5"	"2"	"1"	"5"	"6"
"729"	"4"	"4"	"5"	"4"	"2"	"2"	"3"
"730"	"2"	"3"	"3"	"4"	"1"	"4"	"2"
"731"	"4"	"3"	"2"	"3"	"2"	"4"	"2"
"732"	"4"	"2"	"4"	"5"	"2"	"4"	"1"
"733"	"4"	"5"	"3"	"2"	"2"	"4"	"6"
"734"	"1"	"5"	"4"	"4"	"1"	"6"	"4"
"735"	"2"	"4"	"3"	"2"	"1"	"4"	"6"
"736"	"3"	"3"	"2"	"2"	"1"	"4"	"3"
"737"	"3"	"3"	"3"	"3"	"2"	"5"	"2"
"738"	"2"	"3"	"2"	"2"	"1"	"5"	"5"
"739"	"3"	"5"	"2"	"3"	"1"	"4"	"2"
"740"	"2"	"4"	"2"	"3"	"2"	"3"	"3"
"741"	"2"	"4"	"3"	"5"	"2"	"3"	"3"
"742"	"4"	"5"	"2"	"5"	"2"	"3"	"4"
"743"	"5"	"3"	"1"	"5"	"1"	"2"	"4"
"744"	"3"	"4"	"2"	"4"	"1"	"4"	"5"
"745"	"2"	"4"	"4"	"3"	"2"	"5"	"6"
"746"	"2"	"4"	"5"	"5"	"1"	"2"	"6"
"747"	"4"	"4"	"3"	"5"	"2"	"4"	"3"
"748"	"2"	"2"	"2"	"2"	"1"	"5"	"2"
"749"	"4"	"4"	"3"	"4"	"2"	"4"	"2"
"750"	"1"	"3"	"3"	"5"	"1"	"2"	"5"
"751"	"4"	"4"	"4"	"3"	"2"	"2"	"4"
"752"	"3"	"5"	"4"	"2"	"1"	"6"	"6"
"753"	"4"	"5"	"4"	"2"	"1"	"3"	"6"
"754"	"2"	"4"	"2"	"4"	"1"	"6"	"2"
"755"	"2"	"4"	"4"	"3"	"2"	"1"	"4"
"756"	"2"	"4"	"1"	"4"	"2"	"1"	"4"
"757"	"4"	"4"	"4"	"4"	"2"	"1"	"4"
"758"	"5"	"4"	"4"	"4"	"2"	"2"	"4"
"759"	"2"	"3"	"2"	"2"	"1"	"1"	"4"
"760"	"4"	"4"	"4"	"3"	"1"	"4"	"3"
"761"	"3"	"2"	"3"	"4"	"1"	"2"	"3"
"762"	"4"	"4"	"5"	"2"	"1"	"2"	"4"
"763"	"5"	"4"	"4"	"5"	"2"	"2"	"4"
"764"	"3"	"4"	"2"	"4"	"2"	"5"	"4"
"765"	"2"	"3"	"3"	"2"	"1"	"3"	"5"
"766"	"2"	"4"	"4"	"4"	"2"	"3"	"6"
"767"	"4"	"5"	"4"	"1"	"1"	"5"	"3"
"768"	"4"	"4"	"2"	"4"	"2"	"5"	"3"
"769"	"3"	"5"	"3"	"2"	"1"	"5"	"3"
"770"	"2"	"2"	"2"	"3"	"1"	"6"	"2"
"771"	"2"	"3"	"2"	"4"	"1"	"3"	"5"
"772"	"2"	"3"	"2"	"3"	"1"	"2"	"3"
"773"	"2"	"2"	"1"	"2"	"2"	"4"	"3"
"774"	"2"	"2"	"3"	"1"	"1"	"6"	"2"
"775"	"4"	"3"	"3"	"2"	"1"	"4"	"2"
"776"	"4"	"4"	"3"	"2"	"2"	"2"	"6"
"777"	"4"	"5"	"1"	"2"	"1"	"5"	"3"
"778"	"5"	"5"	"5"	"5"	"1"	"2"	"3"
"779"	"1"	"1"	"1"	"1"	"2"	"6"	"1"
"780"	"3"	"2"	"3"	"4"	"1"	"5"	"3"
"781"	"4"	"1"	"5"	"3"	"2"	"6"	"2"
"782"	"5"	"2"	"3"	"3"	"2"	"4"	"2"
"783"	"2"	"5"	"3"	"2"	"1"	"6"	"2"
"784"	"2"	"1"	"5"	"2"	"1"	"6"	"2"
"785"	"4"	"4"	"3"	"2"	"1"	"4"	"3"
"786"	"4"	"4"	"5"	"2"	"2"	"5"	"2"
"787"	"2"	"5"	"4"	"2"	"1"	"2"	"2"
"788"	"2"	"2"	"1"	"3"	"1"	"2"	"2"
"789"	"5"	"3"	"5"	"3"	"2"	"6"	"2"
"790"	"4"	"4"	"4"	"4"	"1"	"1"	"1"
"791"	"3"	"3"	"3"	"3"	"2"	"6"	"2"
"792"	"4"	"4"	"2"	"5"	"2"	"3"	"3"
"793"	"1"	"1"	"1"	"2"	"1"	"4"	"3"
"794"	"2"	"4"	"1"	"2"	"1"	"3"	"3"
"795"	"5"	"5"	"5"	"5"	"1"	"3"	"5"
"796"	"2"	"5"	"2"	"3"	"2"	"3"	"2"
"797"	"4"	"3"	"4"	"3"	"2"	"1"	"1"
"798"	"2"	"2"	"1"	"5"	"2"	"3"	"2"
"799"	"3"	"2"	"3"	"3"	"2"	"5"	"2"
"800"	"4"	"5"	"5"	"1"	"1"	"4"	"3"
"801"	"1"	"3"	"1"	"4"	"1"	"5"	"2"
"802"	"1"	"3"	"4"	"2"	"1"	"3"	"6"
"803"	"1"	"2"	"2"	"2"	"2"	"6"	"2"
"804"	"4"	"2"	"2"	"3"	"2"	"6"	"2"
"805"	"4"	"2"	"1"	"4"	"2"	"2"	"4"
"806"	"2"	"5"	"5"	"1"	"2"	"6"	"6"
"807"	"3"	"2"	"3"	"4"	"2"	"5"	"2"
"808"	"3"	"3"	"3"	"3"	"1"	"6"	"5"
"809"	"1"	"4"	"3"	"3"	"1"	"2"	"6"
"810"	"5"	"5"	"5"	"1"	"1"	"1"	"4"
"811"	"5"	"2"	"3"	"4"	"2"	"3"	"3"
"812"	"2"	"4"	"2"	"3"	"1"	"1"	"2"
"813"	"2"	"4"	"2"	"5"	"2"	"6"	"2"
"814"	"5"	"5"	"5"	"1"	"2"	"2"	"4"
"815"	"2"	"3"	"1"	"3"	"1"	"1"	"3"
"816"	"3"	"2"	"5"	"1"	"2"	"5"	"2"
"817"	"2"	"4"	"2"	"3"	"1"	"2"	"6"
"818"	"4"	"5"	"2"	"2"	"1"	"4"	"5"
"819"	"4"	"5"	"5"	"2"	"1"	"3"	"2"
"820"	"2"	"4"	"2"	"2"	"1"	"5"	"2"
"821"	"2"	"2"	"3"	"3"	"2"	"1"	"3"
"822"	"2"	"4"	"3"	"4"	"1"	"6"	"2"
"823"	"5"	"5"	"2"	"2"	"1"	"5"	"4"
"824"	"2"	"4"	"3"	"4"	"2"	"1"	"4"
"825"	"3"	"4"	"4"	"2"	"2"	"4"	"2"
"826"	"5"	"5"	"4"	"1"	"1"	"4"	"6"
"827"	"5"	"5"	"4"	"2"	"1"	"2"	"2"
"828"	"4"	"4"	"4"	"2"	"1"	"6"	"2"
"829"	"1"	"2"	"2"	"4"	"2"	"6"	"2"
"830"	"2"	"2"	"2"	"4"	"1"	"4"	"3"
"831"	"1"	"1"	"2"	"5"	"1"	"6"	"2"
"832"	"1"	"1"	"1"	"5"	"2"	"6"	"3"
"833"	"4"	"3"	"3"	"3"	"2"	"5"	"2"
"834"	"4"	"4"	"3"	"3"	"1"	"2"	"3"
"835"	"4"	"4"	"2"	"3"	"1"	"3"	"2"
"836"	"2"	"3"	"3"	"5"	"2"	"6"	"2"
"837"	"3"	"4"	"4"	"3"	"2"	"2"	"2"
"838"	"3"	"3"	"4"	"4"	"1"	"1"	"2"
"839"	"3"	"4"	"2"	"5"	"1"	"1"	"5"
"840"	"2"	"3"	"1"	"4"	"2"	"2"	"3"
"841"	"2"	"3"	"2"	"4"	"2"	"5"	"2"
"842"	"2"	"4"	"4"	"2"	"1"	"6"	"5"
"843"	"4"	"5"	"3"	"2"	"1"	"3"	"5"
"844"	"4"	"5"	"4"	"2"	"1"	"2"	"2"
"845"	"3"	"4"	"4"	"4"	"1"	"2"	"4"
"846"	"1"	"1"	"2"	"4"	"1"	"2"	"5"
"847"	"2"	"3"	"3"	"4"	"1"	"6"	"3"
"848"	"4"	"4"	"3"	"3"	"1"	"5"	"4"
"849"	"2"	"4"	"3"	"3"	"1"	"3"	"3"
"850"	"1"	"3"	"2"	"1"	"2"	"2"	"3"
"851"	"2"	"4"	"4"	"4"	"2"	"6"	"5"
"852"	"4"	"4"	"2"	"4"	"1"	"1"	"4"
"853"	"4"	"4"	"4"	"4"	"2"	"3"	"6"
"854"	"2"	"3"	"1"	"5"	"1"	"6"	"4"
"855"	"2"	"3"	"2"	"3"	"1"	"4"	"3"
"856"	"1"	"1"	"1"	"5"	"2"	"2"	"4"
"857"	"2"	"3"	"2"	"3"	"1"	"4"	"6"
"858"	"3"	"3"	"2"	"2"	"2"	"5"	"3"
"859"	"2"	"2"	"1"	"1"	"2"	"6"	"2"
"860"	"2"	"1"	"1"	"2"	"2"	"6"	"2"
"861"	"1"	"3"	"1"	"4"	"1"	"5"	"2"
"862"	"2"	"1"	"1"	"3"	"2"	"4"	"3"
"863"	"3"	"2"	"3"	"4"	"2"	"6"	"2"
"864"	"3"	"2"	"1"	"2"	"2"	"5"	"2"
"865"	"4"	"4"	"4"	"3"	"1"	"6"	"2"
"866"	"1"	"3"	"2"	"3"	"1"	"4"	"2"
"867"	"1"	"3"	"4"	"5"	"1"	"2"	"2"
"868"	"3"	"4"	"2"	"4"	"1"	"2"	"3"
"869"	"1"	"2"	"2"	"2"	"2"	"3"	"3"
"870"	"3"	"4"	"2"	"3"	"1"	"2"	"2"
"871"	"1"	"2"	"2"	"2"	"2"	"3"	"6"
